filename, language, Markdown, YAML, XML, Ignore, reStructuredText, Lua, Shell Script, Groovy, CMake, Python, C++, C, XSL, Batch, Msg, HTML, Protocol Buffers, JSON, comment, blank, total
cartographer/cartographer/cloud/internal/handlers/get_trajectory_states_handler.cc, C++, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 15, 6, 47
cartographer/cartographer/cloud/internal/handlers/get_trajectory_states_handler.h, C++, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 15, 8, 44
cartographer/cartographer/cloud/internal/handlers/is_trajectory_finished_handler.cc, C++, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 15, 6, 42
cartographer/cartographer/cloud/internal/handlers/is_trajectory_finished_handler.h, C++, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 15, 8, 43
cartographer/cartographer/cloud/internal/handlers/is_trajectory_frozen_handler.cc, C++, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 15, 6, 41
cartographer/cartographer/cloud/internal/handlers/is_trajectory_frozen_handler.h, C++, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 15, 8, 43
cartographer/cartographer/cloud/internal/handlers/load_state_from_file_handler.cc, C++, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 17, 6, 48
cartographer/cartographer/cloud/internal/handlers/load_state_from_file_handler.h, C++, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 15, 8, 43
cartographer/cartographer/cloud/internal/handlers/load_state_handler.cc, C++, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 15, 7, 62
cartographer/cartographer/cloud/internal/handlers/load_state_handler.h, C++, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 15, 9, 49
cartographer/cartographer/cloud/internal/handlers/receive_global_slam_optimizations_handler.cc, C++, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 16, 10, 82
cartographer/cartographer/cloud/internal/handlers/receive_global_slam_optimizations_handler.h, C++, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 15, 9, 50
cartographer/cartographer/cloud/internal/handlers/receive_local_slam_results_handler.cc, C++, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 18, 10, 91
cartographer/cartographer/cloud/internal/handlers/receive_local_slam_results_handler.h, C++, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 15, 10, 51
cartographer/cartographer/cloud/internal/handlers/run_final_optimization_handler.cc, C++, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 15, 6, 43
cartographer/cartographer/cloud/internal/handlers/run_final_optimization_handler.h, C++, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 15, 8, 44
cartographer/cartographer/cloud/internal/handlers/set_landmark_pose_handler.cc, C++, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 15, 6, 43
